ds,yhat,yhat_lower,yhat_upper
2024-01-01,294018.0501522,280248.491000404,307600.14964749553
2024-02-01,295722.0186652569,281316.92070284404,310751.01224740094
2024-03-01,297316.05373444624,284226.34016550676,310461.1904486273
2024-04-01,299020.02217793255,285165.87202126917,313006.9770016296
2024-05-01,300669.0238175439,287383.13016957813,313888.9611963172
2024-06-01,302372.9920842624,288309.7053665646,315145.26205665333
2024-07-01,304019.038199574,290099.09403085354,318025.5273888183
2024-08-01,305719.11818624625,291818.3904419572,320588.04652931273
2024-09-01,307410.11117435765,293642.8515914463,322975.394845614
2024-10-01,309046.54087583907,294644.8456529099,322339.3802038648
2024-11-01,310737.5182340366,296977.95255551557,325459.85575672914
2024-12-01,312373.947935518,298384.7834049831,326122.34820951987
2025-01-01,314064.9252937155,300230.9639766578,328274.2746301061
2025-02-01,315755.902651913,301637.86938491627,329040.1150728766
2025-03-01,317283.2370399623,302812.4908996911,331023.3926445684
2025-04-01,318974.2143981599,304848.46072124684,332780.74806122185
2025-05-01,320610.6440996413,306622.84069642937,333809.4300167722
2025-06-01,322301.6214578388,308469.89944580465,335906.6111741728
